bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
5085,Rocklea,-22.8853,117.4464,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8163
5090,Mount Minnie,-21.9711,115.4324,WA,"rain gauge;",data,Onslow Coast,Private owner,2024/10/10 00:00:00,8164
5094,Barrow Island Airport,-20.874,115.4066,WA,"rain gauge;",data,Onslow Coast,Bureau of Meteorology,2024/10/10 00:00:00,8165
5095,Cheela Plains,-22.9367,116.9731,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8166
6000,Bidgemia,-25.0417,115.3092,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8167
6001,Billabalong,-27.4231,115.8347,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8168
6003,Boolathana,-24.6525,113.6936,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8169
6005,Brickhouse,-24.8208,113.7853,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8170
6009,Cardabia,-23.1044,113.8038,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8171
6010,Carey Downs,-25.6114,115.4625,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8172
6011,Carnarvon Airport,-24.8878,113.67,WA,"rain gauge;",data,Gascoyne River,Bureau of Meteorology,2024/10/10 00:00:00,8173
6017,Dairy Creek,-25.2786,115.8633,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8174
6019,Doorawarrah,-24.806,114.431,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8175
7064,Murgoo,-27.3636,116.4261,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8176
6021,Eudamullah,-24.4508,115.6072,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8177
6023,Gnaraloo,-23.8222,113.5256,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8178
6025,Hamelin Pool,-26.3994,114.1658,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8179
6030,Lyons River,-24.6314,115.3383,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8180
6032,Mardathuna,-24.4733,114.5553,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8181
